  objname                       	   mod0 	     vgsr 	dist
  ESO079-005                    	31.44	1598	19408859
  NGC0216                       	30.3	1555	11481536
  PGC002492                     	32.06	1585	25822602
  PGC002544                     	29.27	416	7144963
  NGC0232                       	34.6	6694	83176377
  PGC002726                     	36.12	11317	167494288
  NGC0252                       	34.44	5092	77268059
  ESO540-030                    	27.62	248	3341950
  UGC00509                      	34.3	5294	72443596
  UGC00511                      	34.46	4759	77983011
  ESO540-032                    	27.79	245	3614099
  NGC0274                       	31.43	1787	19319683
  UGC00521                      	32.59	781	32960971
  NGC0289                       	31.59	1608	20796967
  PGC003183                     	33.09	4950	41495404
  NGC0298                       	32.18	1810	27289778
  PGC003285                     	34.77	6823	89949758
  IC1601                        	35.37	3746	118576875
  PGC003466                     	33.94	4881	61376201
  UGC00608                      	32.83	2934	36812897
  ESO541-005                    	33.11	1968	41879357
  ESO351-030                    	19.63	76	84333
  UGC00622                      	32.83	2893	36812897
  UGC00628                      	34.66	5574	85506671
  UGC00634                      	32.15	2309	26915348
  IC1610                        	34.34	5653	73790423
  PGC004143                     	32.43	1927	30619634
  PGC004222                     	34.59	5725	82794216
  UGC00748                      	34.46	5009	77983011
  UGC00764                      	34.7	4893	87096359
  UGC00825                      	34.53	5512	80537844
  NGC0485                       	32.45	2333	30902954
  NGC0477                       	34.82	6018	92044957
  UGC00909                      	34.62	5235	83945999
  ESO352-057                    	34.61	5639	83560302
  NGC0514                       	32.09	2568	26181830
  UGC00958                      	32.7	2525	34673685
  UGC00964                      	33.05	2820	40738028
  PGC005341                     	33.29	2001	45498806
  PGC005329                     	32.01	2043	25234808
  UGC01020                      	32.99	2695	39627803
  ESO476-010                    	31.68	1584	21677041
  NGC0551                       	34.04	5340	64268772
  UGC01070                      	31.75	2964	22387211
  UGC01112                      	31.96	1774	24660393
  UGC01110                      	32.74	2860	35318317
  UGC01160                      	34.28	5582	71779429
  NGC0634                       	34.4	5072	75857758
  UGC01171                      	29.34	834	7379042
  UGC01176                      	29.78	727	9036495
  UGC01197                      	32.76	2901	35645113
  PGC006354                     	29.48	882	7870458
  UGC01240                      	31.86	1863	23550493
  IC0163                        	31.99	2851	25003454
  PGC006703                     	32.16	1447	27039584
  IC1735                        	35.75	11496	141253754
